date,Control,Treatment,weln_8,weln_50,weln_75,wmln_8,wmln_50,wmln_75,eeln_8,eeln_50,eeln_75,emln_8,emln_50,emln_75,welt_8,welt_50,welt_75,wmlt_8,wmlt_50,wmlt_75,eelt_8,eelt_50,eelt_75,emlt_8,emlt_50,emlt_75
12/8/80,0.520491722,0.522630525,0.520182633,0.560198331,0.624943375,0.518902284,0.54238738,0.54316687,0.548001738,0.693941208,0.769884511,0.519008322,0.532404043,0.541129593,0.520152176,0.520158944,0.521118924,0.520152176,0.520153304,0.520154432,0.52086511,0.647793373,0.765699406,0.520152176,0.53402845,0.544426914
12/9/80,0.507418626,0.51038881,0.507467133,0.539584149,0.588284786,0.50677676,0.527637987,0.528424245,0.530816862,0.632346837,0.686368537,0.506882798,0.520075468,0.525533025,0.50849254,0.508502693,0.508955045,0.50849254,0.50849254,0.508493668,0.508941508,0.592024307,0.682897494,0.50849254,0.522029269,0.527716951
12/10/80,0.490065669,0.49217627,0.489660695,0.517197785,0.557490985,0.488998523,0.507204295,0.507938662,0.512934843,0.588116705,0.633736608,0.489100049,0.502026496,0.505918306,0.490063413,0.490115303,0.490340915,0.490063413,0.490063413,0.490064541,0.490170578,0.547970153,0.616682586,0.490063413,0.503196295,0.507082464
12/11/80,0.471445899,0.473713301,0.471161627,0.496778758,0.527947075,0.470368601,0.487591832,0.488364553,0.491198242,0.551972512,0.586907424,0.470472382,0.483073948,0.484320455,0.471919684,0.472006545,0.472205083,0.471919684,0.471919684,0.471920812,0.472029106,0.514862699,0.566752363,0.471919684,0.484811162,0.485989985
12/12/80,0.457896761,0.460715785,0.458031001,0.481604085,0.509995117,0.457136449,0.471562089,0.472338195,0.474681177,0.531968612,0.558623558,0.457244742,0.46965341,0.470024542,0.459288788,0.459263971,0.459441077,0.459288788,0.459289916,0.459289916,0.459401594,0.491857029,0.530727745,0.459288788,0.471853129,0.472258102
12/13/80,0.45482618,0.457665509,0.455020207,0.484601343,0.537031348,0.453925988,0.471749347,0.472513044,0.473628696,0.648594296,0.687448091,0.454095197,0.46631435,0.467099481,0.456226104,0.456231744,0.456351318,0.456226104,0.456226104,0.456227232,0.456341166,0.567122367,0.614654333,0.456226104,0.469097276,0.469856461
12/14/80,0.481893997,0.487706894,0.484256156,0.55605722,0.749102249,0.482522327,0.508127049,0.508982119,0.522635037,1.211998575,1.344443055,0.483040107,0.495333712,0.498501307,0.486006906,0.486013675,0.486461515,0.486006906,0.486008034,0.486008034,0.48652243,0.945389324,1.113311312,0.486006906,0.50024416,0.502887207
12/15/80,0.605889302,0.615222876,0.611510428,0.814510592,1.268157949,0.606551473,0.645456031,0.646499487,0.697617558,2.20331689,2.517917228,0.607284713,0.622810212,0.633469258,0.614764883,0.614867537,0.618443489,0.614764883,0.614763755,0.614763755,0.616017031,1.543937206,1.931300844,0.614764883,0.630622033,0.641084796
12/16/80,0.830530183,0.842626378,0.841732953,1.217336558,1.903150089,0.831050219,0.888591467,0.889866176,0.969411376,3.232602345,3.743842841,0.831952667,0.852649197,0.872937369,0.840351079,0.840595868,0.850292678,0.840351079,0.840319493,0.840320621,0.842841837,2.121849474,2.746567237,0.840351079,0.857164824,0.876964545
12/17/80,1.138350876,1.152091783,1.157588823,1.706426454,2.568526544,1.13850542,1.215632059,1.217109818,1.332281432,4.259721923,4.975388452,1.139860221,1.165593542,1.194624184,1.149864991,1.150271093,1.166294068,1.149864991,1.14983115,1.14983115,1.153668812,2.739142342,3.596315062,1.149864991,1.167557496,1.196420057
12/18/80,1.25556428,1.268635119,1.280819303,1.933481385,2.857827865,1.254665215,1.345218032,1.34706354,1.502079386,4.724563026,5.566385096,1.255928643,1.284010586,1.321673149,1.260231067,1.260747719,1.282843044,1.260231067,1.260220914,1.260222042,1.265238528,2.979182379,3.961381452,1.260231067,1.27838382,1.315803849
