,lmp
2013-11-06,42.1387039236
2013-11-07,40.3733261458
2013-11-08,39.9389211458
2013-11-09,42.3454179167
2013-11-10,40.9138376042
2013-11-11,42.9950395833
2013-11-12,49.1253313889
2013-11-13,48.9394596181
2013-11-14,40.8195997569
2013-11-15,37.3744827083
2013-11-16,35.7291595139
2013-11-17,41.1228522569
2013-11-18,39.1097436806
2013-11-19,34.0300960764
2013-11-20,47.6981310069
2013-11-21,49.3585421528
2013-11-22,49.3479397222
2013-11-23,44.4386212847
2013-11-24,40.1987858333
2013-11-25,40.1263030903
2013-11-26,39.0858672222
2013-11-27,40.048614375
2013-11-28,36.8324094097
2013-11-29,36.0154152431
2013-11-30,33.9934414583
2013-12-01,31.3565387153
2013-12-02,31.2603694444
2013-12-03,68.6486538542
2013-12-04,69.7783312847
2013-12-05,58.8358082292
2013-12-06,51.4524405903
2013-12-07,61.2580610069
2013-12-08,71.8399405903
2013-12-09,94.674178125
2013-12-10,83.1547771181
2013-12-11,52.6708304167
2013-12-12,56.5509750694
2013-12-13,46.0665240625
2013-12-14,47.8234031597
2013-12-15,47.1018651042
2013-12-16,40.5975354861
2013-12-17,51.0206212847
2013-12-18,58.6165460069
2013-12-19,53.7635819097
2013-12-20,41.9484772917
2013-12-21,40.2192120486
2013-12-22,43.6287997222
2013-12-23,32.1228523958
2013-12-24,39.9160821181
2013-12-25,39.6618251042
2013-12-26,44.9795296875
2013-12-27,39.3798695139
2013-12-28,36.3325586458
2013-12-29,33.5451815625
2013-12-30,42.4007982292
2013-12-31,37.6171594097
2014-01-01,42.2393254861
2014-01-02,45.148359375
2014-01-03,43.372
2014-01-04,45.3436082639
2014-01-05,50.2720217708
2014-01-06,48.2833580208
2014-01-07,46.529358125
2014-01-08,38.4320710764
2014-01-09,33.7791526042
2014-01-10,45.9227515625
2014-01-11,44.6230765972
2014-01-12,39.2559768056
2014-01-13,39.3644367361
2014-01-14,41.3130045139
2014-01-15,46.5280202431
2014-01-16,43.2359673264
2014-01-17,42.7769114931
2014-01-18,42.0862434028
2014-01-19,46.9745490625
2014-01-20,50.3885353472
2014-01-21,49.5717924653
2014-01-22,44.9276930556
2014-01-23,43.9399693403
2014-01-24,53.7393339583
2014-01-25,49.8793332292
2014-01-26,47.6821497222
2014-01-27,46.93714875
2014-01-28,42.74939125
2014-01-29,52.0880374306
2014-01-30,45.9474367014
2014-01-31,55.5218958333
2014-02-01,51.7088604514
2014-02-02,62.4741725347
2014-02-03,57.002228125
2014-02-04,58.0201670139
2014-02-05,73.0995932639
2014-02-06,118.904446944
2014-02-07,67.4758142708
2014-02-08,41.7933453125
2014-02-09,38.81468
2014-02-10,36.376446875
2014-02-11,51.3597219097
2014-02-12,55.0901684028
2014-02-13,50.4268066319
2014-02-14,45.2522576389
2014-02-15,56.1952460764
2014-02-16,43.078441875
2014-02-17,47.0672719792
2014-02-18,70.5033073958
2014-02-19,43.3230685069
2014-02-20,55.6406010417
2014-02-21,55.1876113194
2014-02-22,68.2247760764
2014-02-23,81.0023549306
2014-02-24,71.3226870833
2014-02-25,59.6138685764
2014-02-26,57.1292007986
2014-02-27,45.2623769097
2014-02-28,79.3738986111
2014-03-01,49.0144067708
2014-03-02,61.3524452431
2014-03-03,55.2790065972
2014-03-04,42.6370322569
2014-03-05,50.7805772917
2014-03-06,33.4671969444
2014-03-07,36.5551132639
2014-03-08,38.0294695139
2014-03-09,53.0807872464
2014-03-10,34.3167640278
2014-03-11,33.2458738889
2014-03-12,32.0751924653
2014-03-13,47.1925140278
2014-03-14,42.376886875
2014-03-15,80.7281051736
2014-03-16,57.4533410417
2014-03-17,41.6743768056
2014-03-18,42.0942982292
2014-03-19,48.4285847569
2014-03-20,59.7260231944
2014-03-21,38.4239862847
2014-03-22,35.6311294792
2014-03-23,42.1253331597
2014-03-24,51.46504375
2014-03-25,41.9815595486
2014-03-26,53.2652990625
2014-03-27,58.4715243403
2014-03-28,69.6335179514
2014-03-29,60.5920401389
2014-03-30,19.2437515625
2014-03-31,45.7809627083
2014-04-01,60.4244551042
2014-04-02,46.8809920139
2014-04-03,40.4174213889
2014-04-04,58.8115413889
2014-04-05,43.17283375
2014-04-06,57.0014756944
2014-04-07,95.5872217014
2014-04-08,85.6311902778
2014-04-09,49.3205125347
2014-04-10,63.4755570833
2014-04-11,46.7444694097
2014-04-12,7.73425045139
2014-04-13,30.4298202083
2014-04-14,60.9294569792
2014-04-15,43.1362321875
2014-04-16,57.3011344444
2014-04-17,79.167268125
2014-04-18,58.9187705903
2014-04-19,37.4268321181
2014-04-20,51.5220664236
2014-04-21,83.7442237153
2014-04-22,38.1134331597
2014-04-23,35.8136497569
2014-04-24,37.8431345833
2014-04-25,52.6206381597
2014-04-26,47.1270900694
2014-04-27,66.3305552778
2014-04-28,38.6444542708
2014-04-29,61.6812805903
2014-04-30,83.4103754861
2014-05-01,54.9759531944
2014-05-02,40.2467993403
2014-05-03,53.233245
2014-05-04,57.7164246181
2014-05-05,55.9381446875
2014-05-06,40.9651611806
2014-05-07,38.7150927431
2014-05-08,36.7519729861
2014-05-09,76.7404075347
2014-05-10,78.9406822569
2014-05-11,33.4940776736
2014-05-12,43.2037438542
2014-05-13,56.1275755903
2014-05-14,69.7038014931
2014-05-15,50.4260525347
2014-05-16,26.5015789583
2014-05-17,36.5722731597
2014-05-18,44.2825409375
2014-05-19,30.49144875
