date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
8/31/14,49494,49610,56113,50522,50522,54267
9/30/14,43770,43804,51101,44018,44019,48855
10/31/14,518,518,518,518,518,519
11/30/14,28752,28985,33623,29334,29334,33285
12/31/14,39583,39811,48155,40041,40042,45534
1/31/15,63,63,63,63,63,63
2/28/15,1163,1163,1165,1163,1163,1164
3/31/15,1,1,1,1,1,1
4/30/15,105,105,105,105,105,105
5/31/15,14538,14538,14560,14537,14537,14555
6/30/15,17549,17549,17578,17549,17548,17571
7/31/15,46540,46540,49992,46637,46636,48641
8/31/15,45174,45171,48517,45419,45416,47570
9/30/15,39517,39513,44727,39972,39969,42394
