date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
07Feb1990,108971,108968,108925,108948,108967,108941
08Feb1990,109125,109122,109079,109102,109121,109095
09Feb1990,109281,109278,109235,109258,109278,109251
10Feb1990,109460,109457,109414,109437,109457,109430
11Feb1990,109663,109660,109617,109640,109659,109633
12Feb1990,109893,109891,109847,109870,109890,109864
13Feb1990,110104,110101,110058,110081,110100,110074
14Feb1990,110271,110268,110225,110248,110267,110241
15Feb1990,110433,110430,110387,110410,110429,110403
16Feb1990,110592,110589,110546,110569,110588,110562
17Feb1990,110749,110746,110703,110726,110745,110719
18Feb1990,110904,110902,110858,110882,110901,110875
19Feb1990,111059,111056,111013,111036,111055,111029
20Feb1990,111210,111207,111164,111187,111206,111180
21Feb1990,111386,111384,111340,111363,111383,111357
22Feb1990,111573,111570,111527,111550,111569,111543
23Feb1990,111786,111783,111740,111763,111782,111756
24Feb1990,112020,112017,111974,111997,112016,111990
25Feb1990,112272,112269,112226,112249,112268,112242
26Feb1990,112564,112561,112518,112541,112560,112534
27Feb1990,112888,112886,112842,112865,112885,112859
28Feb1990,113242,113239,113196,113219,113238,113212
01Mar1990,113566,113563,113520,113543,113562,113536
02Mar1990,113986,113984,113940,113963,113983,113957
03Mar1990,114713,114711,114667,114690,114710,114684
04Mar1990,115262,115259,115216,115239,115259,115232
05Mar1990,115711,115708,115665,115688,115707,115681
06Mar1990,116117,116114,116071,116094,116114,116087
07Mar1990,116535,116532,116489,116512,116532,116505
08Mar1990,116982,116979,116936,116959,116979,116952
09Mar1990,117423,117420,117377,117400,117419,117393
10Mar1990,117839,117836,117793,117816,117836,117809
11Mar1990,118186,118183,118140,118163,118182,118156
12Mar1990,118497,118494,118451,118474,118493,118467
13Mar1990,118790,118787,118744,118767,118786,118760
14Mar1990,119065,119062,119019,119042,119062,119035
15Mar1990,119310,119307,119264,119287,119306,119280
16Mar1990,119570,119567,119524,119547,119566,119540
17Mar1990,119897,119894,119851,119874,119893,119867
18Mar1990,120340,120337,120294,120317,120336,120310
19Mar1990,120848,120845,120802,120825,120844,120818
20Mar1990,121454,121452,121409,121432,121451,121425
21Mar1990,122125,122123,122079,122102,122122,122096
22Mar1990,122844,122841,122798,122821,122840,122814
23Mar1990,123626,123623,123580,123603,123622,123596
24Mar1990,124520,124517,124474,124497,124516,124490
25Mar1990,125493,125491,125447,125470,125490,125464
26Mar1990,126447,126444,126401,126424,126444,126417
27Mar1990,127332,127330,127286,127309,127329,127303
28Mar1990,128150,128147,128104,128127,128146,128120
