date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
15Feb1998,83050,82968,87935,83673,83786,86862
16Feb1998,83526,83444,88387,84151,84264,87317
17Feb1998,84033,83951,88836,84660,84773,87803
18Feb1998,84539,84456,89283,85168,85280,88287
19Feb1998,85009,84926,89696,85640,85753,88703
20Feb1998,85380,85329,90042,86013,86126,89053
21Feb1998,85716,85665,90353,86351,86464,89367
22Feb1998,86050,85999,90662,86687,86800,89680
23Feb1998,86513,86461,91000,87118,87231,90022
24Feb1998,87008,86956,91371,87582,87662,90397
25Feb1998,87468,87415,91774,88044,88124,90803
26Feb1998,87929,87875,92143,88474,88553,91176
27Feb1998,88356,88302,92479,88903,88983,91549
28Feb1998,89040,88996,93228,89564,89652,92262
01Mar1998,89783,89758,94124,90325,90428,93117
02Mar1998,90561,90555,95022,91121,91240,93941
03Mar1998,91312,91325,95860,91890,92024,94705
04Mar1998,92091,92124,96826,92688,92838,95597
05Mar1998,92869,92921,97758,93484,93649,96453
06Mar1998,93676,93747,98718,94309,94490,97339
07Mar1998,94383,94474,99579,95034,95198,98126
08Mar1998,95122,95232,100471,95791,95970,98944
09Mar1998,95861,95990,101363,96515,96710,99762
10Mar1998,96601,96750,102257,97274,97484,100614
11Mar1998,97348,97515,103058,98005,98231,101440
12Mar1998,98162,98349,103894,98838,99079,102334
13Mar1998,98876,99082,104397,99569,99827,102829
14Mar1998,99593,99818,104904,100305,100578,103361
15Mar1998,100306,100551,105407,101036,101325,103789
16Mar1998,101075,101305,105932,101757,102061,104240
17Mar1998,101820,102070,106467,102388,102707,104701
18Mar1998,102505,102774,107008,103025,103360,105233
19Mar1998,103203,103492,107562,103675,104026,105713
20Mar1998,103759,104066,108139,104149,104516,106216
21Mar1998,104199,104526,108733,104575,104957,106736
22Mar1998,104850,105130,109504,105178,105575,107432
23Mar1998,105675,105975,110384,105889,106302,108238
24Mar1998,106557,106876,111452,106789,107218,109232
25Mar1998,107369,107707,111602,107620,108064,110156
26Mar1998,107991,108348,111602,108260,108719,110890
27Mar1998,108526,108902,111602,108813,109288,111537
28Mar1998,109005,109400,111602,109310,109800,111602
29Mar1998,109442,109857,111602,109765,110272,111602
30Mar1998,109852,110286,111602,110193,110715,111602
31Mar1998,110025,110465,111602,110380,110905,111602
01Apr1998,110356,110788,111946,110720,111236,111932
02Apr1998,110709,111133,112324,111081,111588,112295
03Apr1998,111053,111469,112668,111434,111932,112625
04Apr1998,111355,111763,112583,111745,112233,112526
05Apr1998,111615,112015,112498,112014,112494,112426
