,SFMD,FMD_storage,SHHL,HHL_storage,RFMD,FMD_out_FMPH,RHHL,HHL_out_MFPH
1995-12-12,59.32137787790616,61.9,111.98838799547167,127.2,399.9999993264,0.0,919.9999984507199,457.0
1995-12-13,59.329972919214,62.7,112.48128055662511,127.8,399.9999993264,0.0,919.9999984507199,463.0
1995-12-14,58.86187374644856,62.7,111.93549543357727,128.0,399.9999993264,166.0,919.9999984507199,311.0
1995-12-15,58.35245225970312,62.5,111.36442105437368,128.5,399.9999993264,246.0,919.9999984507199,234.0
1995-12-16,57.75509688880824,62.7,110.7092144439068,128.9,399.9999993264,0.0,919.9999984507199,0.0
1995-12-17,57.05575804701072,62.8,109.86177642880496,128.6,399.9999993264,0.0,919.9999984507199,256.0
1995-12-18,56.3564192052132,62.9,108.96342932287976,127.9,399.9999993264,0.0,919.9999984507199,432.0
1995-12-19,55.65708036341568,63.0,108.12971031601928,127.1,399.9999993264,0.0,919.9999984507199,515.0
1995-12-20,54.95774152161816,63.1,107.21070205310409,126.3,399.9999993264,0.0,919.9999984507199,472.0
1995-12-21,54.25840267982064,63.2,106.23929709606224,125.4,399.9999993264,0.0,919.9999984507199,496.0
1995-12-22,53.55906383802312,63.3,105.21549544489376,124.4,399.9999993264,0.0,919.9999984507199,521.0
1995-12-23,52.8597249962256,63.4,104.34822271908152,124.1,399.9999993264,0.0,919.9999984507199,247.0
1995-12-24,52.06038615459648,63.4,103.38656982813896,123.9,399.9999993264,0.0,919.9999984507199,149.0
1995-12-25,51.36104731279896,63.5,102.4249169371964,123.7,399.9999993264,0.0,919.9999984507199,149.0
1995-12-26,50.561510124062735,63.5,101.5753301617676,122.9,399.9999993264,0.0,919.9999984507199,508.0
1995-12-27,49.861774588051006,63.6,100.61979297329408,122.0,399.9999993264,0.0,919.9999984507199,505.0
1995-12-28,49.162435746253486,63.7,99.76425578465216,121.2,399.9999993264,0.0,919.9999984507199,505.0
1995-12-29,48.565080375358605,63.9,99.11070206674448,120.6,399.9999993264,0.0,919.9999984507199,505.0
1995-12-30,48.57565888773748,64.7,99.75814008218312,121.9,399.9999993264,0.0,919.9999984507199,201.0
1995-12-31,48.48425392921372,65.4,100.20557809795856,123.0,399.9999993264,0.0,919.9999984507199,201.0
1996-01-01,48.18888202888468,65.9,99.74590867724504,123.3,399.9999993264,0.0,919.9999984507199,149.0
1996-01-02,47.79351012872404,66.3,99.39235495883216,123.0,399.9999993264,0.0,919.9999984507199,505.0
1996-01-03,47.29615475766076,66.6,98.76739628219863,122.5,399.9999993264,0.0,919.9999984507199,469.0
1996-01-04,46.79879938659748,66.9,98.06838801891296,122.4,399.9999993264,0.0,919.9999984507199,231.0
1996-01-05,46.2014440157026,67.1,97.41285082993423,121.8,399.9999993264,0.0,919.9999984507199,505.0
1996-01-06,45.60408864480772,67.3,96.75433843434895,121.8,399.9999993264,0.0,919.9999984507199,201.0
1996-01-07,45.006733273912836,67.5,95.92557810516607,121.6,399.9999993264,0.0,919.9999984507199,216.0
1996-01-08,44.409377903017955,67.7,95.17004091635575,120.9,399.9999993264,0.0,919.9999984507199,505.0
1996-01-09,43.81202253212307,67.9,94.41450372754542,120.2,399.9999993264,0.0,919.9999984507199,505.0
1996-01-10,43.11466716139659,68.0,93.48442108448359,119.5,399.9999993264,0.0,919.9999984507199,417.0
1996-01-11,42.51731179050171,68.2,92.63929711896462,119.0,399.9999993264,0.0,919.9999984507199,359.0
1996-01-12,41.819956419775224,68.3,91.8854128227135,118.5,399.9999993264,0.0,919.9999984507199,405.0
1996-01-13,41.22260104888034,68.5,91.13285084050975,118.4,399.9999993264,0.0,919.9999984507199,204.0
1996-01-14,40.52326220708282,68.6,90.27433844526126,118.2,399.9999993264,0.0,919.9999984507199,201.0
1996-01-15,40.0,68.8,89.34636098536649,117.6,362.6446959044878,0.0,919.9999984507199,405.0
1996-01-16,41.03438016354736,70.6,90.94090643722673,119.5,399.9999993264,0.0,919.9999984507199,371.0
1996-01-17,41.35090908863416,71.7,91.1209064369236,120.4,399.9999993264,0.0,919.9999984507199,166.0
1996-01-18,41.46148760084464,72.6,91.14801387489449,120.8,399.9999993264,0.0,919.9999984507199,340.0
1996-01-19,41.37404958446296,73.3,91.03710478417217,121.3,399.9999993264,0.0,919.9999984507199,220.0
1996-01-20,40.980661155373355,73.7,90.4298320579221,121.5,399.9999993264,0.0,919.9999984507199,124.0
1996-01-21,40.68727272611535,74.2,90.02454280240626,121.9,399.9999993264,0.0,919.9999984507199,126.0
1996-01-22,40.29190082595471,74.6,89.42847668770756,121.8,399.9999993264,0.0,919.9999984507199,281.9
1996-01-23,40.68759447328438,75.0,89.72982057835524,121.5,1.171119133372535,0.0,2.6935740067568315,307.7
1996-01-24,41.28328812027724,75.6,90.45245372449183,121.8,1.171119133372535,0.0,2.6935740067568315,206.6
1996-01-25,41.5888991231305,75.9,90.89141744961852,122.0,1.171119133372535,0.0,2.6935740067568315,111.0
1996-01-26,41.786576241868005,76.1,91.15715803454104,122.0,1.171119133372535,0.0,2.6935740067568315,128.5
1996-01-27,42.38623683100295,76.7,92.01301432094914,122.7,1.171119133372535,0.0,2.6935740067568315,73.1
1996-01-28,42.685897420643094,77.0,92.3272177157074,122.9,1.171119133372535,0.0,2.6935740067568315,62.1
1996-01-29,42.8835745393806,77.2,92.65467730879045,123.0,1.171119133372535,0.0,2.6935740067568315,126.2
1996-01-30,43.0812516581181,77.4,92.9916575630145,123.1,1.171119133372535,0.0,2.6935740067568315,133.0
1996-01-31,43.28091224792664,77.6,93.47200971782355,123.1,1.171119133372535,0.0,2.6935740067568315,253.7
1996-02-01,43.57858936649575,77.9,93.99639493040969,123.1,1.171119133372535,0.0,2.6935740067568315,276.9
