date,streamflow,streamflow_thin,streamflow_fire,streamflow_fire_temperature
12/25/01,52.83063124,76.06764441,165.0486402,311.7526201
12/26/01,127.5791502,142.2783185,324.6024712,394.102892
12/27/01,113.9724343,177.0909935,417.6356158,422.577048
12/28/01,207.6771526,277.8182334,464.5840222,467.6799615
12/29/01,464.4400908,509.593916,532.0913537,729.5280243
12/30/01,597.7966545,536.3977827,636.8460834,769.0140279
12/31/01,688.8463105,837.1842485,928.8921327,910.8832195
1/1/02,535.1277763,526.5349563,760.8862262,711.2034419
1/2/02,639.6634419,667.1035467,1046.148976,885.7854558
1/3/02,374.8509421,425.9330837,568.5048422,660.8461361
1/4/02,435.4091318,482.6300636,661.4665988,592.125367
1/5/02,586.7584348,698.3508023,856.9617691,841.2808954
1/6/02,944.7509189,968.0166546,1110.340108,1046.812104
1/7/02,982.6063108,1077.815038,1329.557826,1043.847746
1/8/02,686.4609056,812.7497324,861.7670381,763.4536468
1/9/02,470.0479178,506.2737736,622.1562768,551.4816578
1/10/02,646.7820108,738.2850528,587.9596425,402.6571895
1/11/02,824.6452861,747.1946971,745.474213,362.6786004
1/12/02,545.7922046,549.4040342,613.9298385,331.21244
1/13/02,494.7492627,552.489576,640.2662966,300.608633
1/14/02,222.0639185,338.5948499,310.0799006,187.1686214
1/15/02,190.3475812,197.8685843,229.1210188,128.8697921
1/16/02,174.9769189,183.8211906,195.0180415,111.1930405
1/17/02,157.2506099,158.721196,168.3569111,99.63152088
1/18/02,151.76086,130.8132843,132.4607471,100.3581095
1/19/02,103.1044385,119.2758661,118.751371,79.31843045
1/20/02,129.9561495,161.3846639,201.1280947,120.4700227
1/21/02,125.5994461,104.4611702,145.5068356,104.1377727
1/22/02,91.92408015,86.12041401,122.4187335,83.17577599
1/23/02,93.02043664,87.60749266,105.7255595,77.02791741
1/24/02,213.1483384,194.8287755,288.7157485,94.17873981
1/25/02,267.2332802,192.1713629,285.7537813,112.9960671
1/26/02,182.3194917,151.084506,191.746102,289.3476045
1/27/02,144.9971201,143.3048007,127.5199523,127.1229757
1/28/02,119.1880652,104.3416988,102.0593125,102.9318643
1/29/02,93.94342213,79.40376149,86.51452232,111.0639683
1/30/02,75.60995611,74.17466567,87.17749113,105.5890777
1/31/02,62.3382303,60.39402106,77.23861577,91.21872467
2/1/02,55.16114072,65.09483726,86.41540764,75.78197265
2/2/02,125.6268938,153.0199909,108.2601146,120.90349
2/3/02,141.8982727,200.3674055,216.2910464,240.9309625
2/4/02,231.1248641,370.4529674,461.39833,499.7147963
2/5/02,410.4332297,445.361233,430.5285308,534.1371076
2/6/02,289.6910401,331.56456,583.8298113,388.8487785
